20220503: 067,459,647,696,791,796,622,088
20220502: 092,173,394,735,1353,1481,231
20220501: 1041,024,101,150,155
20220430: 658,759,1027
20220429: 370,033,081
20220428: 277,289
20220426: 240,251
20220425: 989,157,189,346,281
20220423: 041,048,503
20220422: 005,739
20220421: 005
20220419: 173,227,341,735,1047,161,415,647,680,791,281
20220418: 325,438,463,523,525,554
20220417: 010,056,314,311,277
20220416: 721,825,032,071
20220415: 311,334,498,101
20220414: 503,739
20220412: 263,264,703,496,503
20220410: 1481
20220409: 300,670,1353
20220408: 300,670
20220402: 016,027,031,034
20220401: 300
20220331: 131,875,048
20220330: 482,449,1603
20220329: 663,236,235,1963,1248,560,525
20220328: 168,969,696
20220327: 735,048,504,1022,257,1963,080,227,207
20220326: 1022,045,588,1166
20220325: 015,504,048,1209,1047
20220323: 1963,025
20220321: 403,1889
20220320: 2009,895,227,224,080
20220318: 926
20220317: 017
20220315: 980,121,041,143,909
20220314: 876,206,143
20220313: 003,140
20220312: 815,297
20220311: 669,1353,143,330,2021,207,417
20220310: 053,091,353,348
20220309: 694,1915
20220308: 1109,545,2021,040
20220307: 207,1135,1703
20220306: 1248,828,139,1372
20220305: 1567,012,013,863,926,370
20220304: 1041,1339,140,133,139
20220303: 1010,767,079,582
20220302: 139,140
20220228: 642,460,1481
20220227: 239,1375,089,190,735,696
20220226: 588,1730,042
20220225: 1151,2104,212,1648
20220224: 907,252,253,019
20220223: 1710,472
20220222: 370,393,113
20220221: 1152,1492,146
20220220: 828,937,1268,926,696
20220219: 734,737,743,787,130
20220218: 686,298,127,126,133
20220217: 308,269,206,079
20220216: 681,340,413,482
20220215: 388,683
20220210: 565
20220208: 670,406,1010,525,523
20220207: 026,080,257,11,128
20220206: 69,207,210
20220204: 111,165,57,56,355
20220131: 190
20220130: 235,236,1268
20220128: 1167
20220126: 406
20220125: 005,026,080,011
20220124: 791
20220123: 640
20220122: 553,606,662,295
20220121: 536,532
20220120: 532
20220119: 100,572,508
20220117: 189,617
20220116: 560,264,703
20220115: 1010,134,089
20220114: 647
20220113: 323,008,538
20220112: 716,136,163,725,621
20220111: 57,56,227,224
20220110: 046,969,128
20220109: 658,005
20220108: 875,646,435,055
20220107: 508,663,725,278,035,875
20220106: 529,508
20220105: 073,199
20220102: 937,1041,994,523,525,204
20220101: 090,852,1131
20200706: 066,271
20200703: 163
20200629: 210,261
20200628: 361,393,133,207
20200627: 734,737
20200624: 298
20200623: 130
20200622: 346,686
20200620: 482,127,102,107
20200619: 388
20200617: 646
20200616: 776
20200614: 771,775
20200612: 762
20200611: 742
20200609: 738
20200608: 396
20200605: 694
20200604: 663
20200603: 661,662
20200601: 701,450
20200531: 640,645
20200530: 606,459
20200528: 269
20200527: 537,553,579
20200525: 355,119,536
20200524: 451,414,189
20200522: 725,538,089
20200521: 517,535,529
20200520: 711,046,126,127
20200519: 063,064,120,0146
20200518: 675,297,138
20200516: 836,860,863
20200513: 703,787,819
20200512: 669,682,739,763
20200511: 642,652,657
20200510: 545,617,628
20200508: 445,508
20200507: 322,380,394
20200506: 289,295
20200505: 251,287
20200504: 231,232,240
20200503: 198,203,230
20200502: 155,165,167,179
20200430: 153
20200429: 131,134,150
20210525: 001,121,217,238
20210526: 133,207
20210527: 417,200,128,269,261,323
20210605: 057,056,435,252,253
20210610: 206,141,021,023,019,143
